"iso2c","RR_BankingCrisis","RR_StockMarketCrash","RR_CurrencyCrisis","date"
"AO","0",NA,"1",1966-06-01
"AO","0",NA,"0",1967-06-01
"AO","0",NA,"1",1968-06-01
"AO","0",NA,"0",1969-06-01
"AO","0",NA,"1",1970-06-01
"AO","0",NA,"0",1971-06-01
"AO","0",NA,"1",1972-06-01
"AO","0",NA,"1",1973-06-01
"AO","0",NA,"0",1974-06-01
"AO","0",NA,"0",1975-06-01
"AO","0",NA,"0",1976-06-01
"AO","0",NA,"0",1977-06-01
"AO","0",NA,"0",1978-06-01
"AO","0",NA,"0",1979-06-01
"AO","0",NA,"0",1980-06-01
"AO","0",NA,"0",1981-06-01
"AO","0",NA,"0",1982-06-01
"AO","0",NA,"0",1983-06-01
"AO","0",NA,"0",1984-06-01
"AO","0",NA,"0",1985-06-01
"AO","0",NA,"0",1986-06-01
"AO","0",NA,"0",1987-06-01
"AO","0",NA,"0",1988-06-01
"AO","0",NA,"0",1989-06-01
"AO","0",NA,"0",1990-06-01
"AO","0",NA,"1",1991-06-01
"AO","1",NA,"1",1992-06-01
"AO","1",NA,"1",1993-06-01
"AO","1",NA,"1",1994-06-01
"AO","1",NA,"2",1995-06-01
"AO","1",NA,"1",1996-06-01
"AO","1",NA,"1",1997-06-01
"AO","1",NA,"1",1998-06-01
"AO","0",NA,"2",1999-06-01
"AO","0",NA,"1",2000-06-01
"AO","0",NA,"1",2001-06-01
"AO","0",NA,"1",2002-06-01
"AO","0",NA,"1",2003-06-01
"AO","0",NA,"1",2004-06-01
"AO","0",NA,"1",2005-06-01
"AO","0",NA,"0",2006-06-01
"AO","0",NA,"0",2007-06-01
"AO","0",NA,"0",2008-06-01
"AO","0",NA,"1",2009-06-01
"AO","0",NA,"1",2010-06-01
"AR","0","0","0",1800-06-01
"AR","0","0","0",1801-06-01
"AR","0","0","0",1802-06-01
"AR","0","0","0",1803-06-01
"AR","0","0","0",1804-06-01
"AR","0","0","0",1805-06-01
"AR","0","0","0",1806-06-01
"AR","0","0","0",1807-06-01
"AR","0","0","0",1808-06-01
"AR","0","0","0",1809-06-01
"AR","0","0","0",1810-06-01
"AR","0","0","0",1811-06-01
"AR","0","0","0",1812-06-01
"AR","0","0","0",1813-06-01
"AR","0","0","0",1814-06-01
"AR","0","0","0",1815-06-01
"AR","0","0","0",1816-06-01
"AR","0","0","0",1817-06-01
"AR","0","0","0",1818-06-01
"AR","0","0","0",1819-06-01
"AR","0","0","0",1820-06-01
"AR","0","0","0",1821-06-01
"AR","0","0","0",1822-06-01
"AR","0","0","0",1823-06-01
"AR","0","0","0",1824-06-01
"AR","0","0","0",1825-06-01
"AR","0","0","0",1826-06-01
"AR","0","0","0",1827-06-01
"AR","0","0","0",1828-06-01
"AR","0","0","0",1829-06-01
"AR","0","0","0",1830-06-01
"AR","0","0","0",1831-06-01
"AR","0","0","0",1832-06-01
"AR","0","0","0",1833-06-01
"AR","0","0","0",1834-06-01
"AR","0","0","0",1835-06-01
"AR","0","0","0",1836-06-01
"AR","0","0","0",1837-06-01
"AR","0","0","0",1838-06-01
"AR","0","0","0",1839-06-01
"AR","0","0","0",1840-06-01
"AR","0","0","0",1841-06-01
"AR","0","0","0",1842-06-01
"AR","0","0","0",1843-06-01
"AR","0","0","0",1844-06-01
"AR","0","0","0",1845-06-01
"AR","0","0","0",1846-06-01
"AR","0","0","0",1847-06-01
"AR","0","0","0",1848-06-01
"AR","0","0","0",1849-06-01
"AR","0","0","0",1850-06-01
"AR","0","0","0",1851-06-01
"AR","0","0","0",1852-06-01
"AR","0","0","0",1853-06-01
"AR","0","0","0",1854-06-01
"AR","0","0","0",1855-06-01
"AR","0","0","0",1856-06-01
"AR","0","0","0",1857-06-01
"AR","0","0","0",1858-06-01
"AR","0","0","0",1859-06-01
"AR","0","0","0",1860-06-01
"AR","0","0","0",1861-06-01
"AR","0","0","0",1862-06-01
"AR","0","0","0",1863-06-01
"AR","0","0","0",1864-06-01
"AR","0","0","0",1865-06-01
"AR","0","0","0",1866-06-01
"AR","0","0","0",1867-06-01
"AR","0","0","0",1868-06-01
"AR","0","0","0",1869-06-01
"AR","0","0","0",1870-06-01
"AR","0","0","0",1871-06-01
"AR","0","0","0",1872-06-01
"AR","0","0","0",1873-06-01
"AR","0","0","0",1874-06-01
"AR","0","0","0",1875-06-01
"AR","0","0","0",1876-06-01
"AR","0","0","0",1877-06-01
"AR","0","0","0",1878-06-01
"AR","0","0","0",1879-06-01
"AR","0","0","0",1880-06-01
"AR","0","0","0",1881-06-01
"AR","0","0","0",1882-06-01
"AR","0","0","0",1883-06-01
"AR","0","0","0",1884-06-01
"AR","0","0","1",1885-06-01
"AR","0","0","0",1886-06-01
"AR","0","0","0",1887-06-01
"AR","0","0","0",1888-06-01
"AR","0","0","1",1889-06-01
"AR","1","0","1",1890-06-01
"AR","1","0","1",1891-06-01
"AR","0","0","0",1892-06-01
"AR","0","0","0",1893-06-01
"AR","0","0","0",1894-06-01
"AR","0","0","0",1895-06-01
"AR","0","0","0",1896-06-01
"AR","0","0","0",1897-06-01
"AR","0","0","0",1898-06-01
"AR","0","0","0",1899-06-01
"AR","0","0","0",1900-06-01
"AR","0","0","0",1901-06-01
"AR","0","0","0",1902-06-01
"AR","0","0","0",1903-06-01
"AR","0","0","0",1904-06-01
"AR","0","0","0",1905-06-01
"AR","0","0","0",1906-06-01
"AR","0","0","0",1907-06-01
"AR","0","0","0",1908-06-01
"AR","0","0","0",1909-06-01
"AR","0","0","0",1910-06-01
"AR","0","0","0",1911-06-01
"AR","0","0","0",1912-06-01
"AR","0","0","0",1913-06-01
"AR","1","0","0",1914-06-01
"AR","0","0","0",1915-06-01
"AR","0","0","0",1916-06-01
"AR","0","0","0",1917-06-01
"AR","0","0","0",1918-06-01
"AR","0","0","0",1919-06-01
"AR","0","0","1",1920-06-01
"AR","0","0","0",1921-06-01
"AR","0","0","0",1922-06-01
"AR","0","0","1",1923-06-01
"AR","0","0","0",1924-06-01
"AR","0","0","0",1925-06-01
"AR","0","0","0",1926-06-01
